author,follower_ct
707304985495805952,58
707266734424788992,23
98543618,14543
16957443,3433
15513604,569432
229992790,6713
722328013736574976,
17997831,1721
141942792,1270
4591396873,64
939616267,188
825772045,6282
21301933,15393
504129552,1175
48799761,5745
25393191,1441
2924158996,
36890646,23979
594062359,434
603074585,474
38652595,592
3295325530,112
1218566174,2655
17901573,407
292374563,22421
196452389,313
17066022,7443
2352351271,184
21428264,74015
15786332,2442
546744362,349
20268039,935
18013192,79
227819570,738
1595026099,60
3307778821,1126
280664117,12840
17920055,5904
617246776,25191
51730100,87
3677775437,5542
14377023,2095
752404544,
1965903937,
2998408203,546672
2340679891,51
1199596897,5131
312248392,12221
22216777,905
3973558348,427
20021325,2398
222242894,508
216810509,3865
766728272,243
2928443473,27
54257746,2284
260819116,140
60100694,1493
417603671,360
547969112,113233
1214302297,16
621299727,511
2196815964,6377
3914047581,24359
264861791,704
128450657,1975
90077282,11175
109320292,657
1570407782,653
2595467366,1742
236054545,2373
18165865,4932
174743659,688
1595002988,61
437019753,11557
1258217582,1469
59500657,24430
373397618,4559
1214290622,12
411621494,3633
55072887,382
75939860,11747
17703035,1698
92995708,4057
21688445,2013
1214283902,
14669951,933442
128833664,2041
4627478657,5618
36690283,4823
3300847748,484
2976014469,2027
709357254131191808,14
138223751,294
3015604913,5929
5392522,5908321
4719313943,
312149882,71596
17759597,9075
3669655696,2248
3086975121,4021
95463107,27098
762534037,8284
1214300311,13
17322445,30250
1553039516,2712
3890391197,2
16734667,9597
16181407,38
55046304,144
22659233,888
314243234,20661
5849252,1032
2344222885,1505
3270783145,598
67088479,3101
19101867,5395
322031788,1560
2721114285,110
3024050350,
14677751,18652
2649147763,31
15676749,2857
807095,27900360
17814534,7685
30041119,4589
3020705981,1803
3293418220,20
102793411,1389
749748420,12270
24054719,3052
143599815,3302
727088844,3193
246362315,3719
124227622,8931
3246654606,22
237033680,2625
336041336,354
31330515,1876
265023700,5099
49688789,1359
281282774,9324
32789881,1054
2488510680,394
188092633,50379
2330112218,1102
561614650,3111
306251996,1656
3020691677,1304
4876609759,1889
19861848,3540
17740704,685
25655525,157
20150502,162065
137036008,38380
3702803836,1656
24481831,80065
700478162,1175
2370959600,2927
4708373603,911
90427636,256
3890650283,2
395555062,2957
55038199,68
11182932,3176
3321571577,
19107878,50237
329764906,1381
419926270,8937
27202261,1200
1382371712,1178
38091010,829
950531,22160
18565846,1326
1855461638,1258
179912967,3269
37036297,3070
66722060,1629
19791234,13547
4198314254,
191463695,5474
21842781,5765
47859478,1743
35606154,72471
537846035,
3407565077,180
216773337,249
31037199,9987
25667531,1321
4070056218,519
17123611,5427
32315679,1375
534671648,1779
211411233,373
1740060962,181
3024046372,
390914341,17826
9300262,1586188
1214281800,442
1858738472,59
973517532,636
33773867,686
45070636,9912
1214300462,
361342191,134675
2819971380,4320
1964112182,8676
32283017,19587
216179001,6
1132012321,3342
389759292,5325
3198794045,10096
1595003198,59
3130914869,10828
145213760,790
149984992,7582
3192082754,2949
22412777,671
15905092,31555
1424605753,3778
21360968,1891
222695753,212
390381898,522
3270951991,1747
95568205,982
18363321,17
973542421,1075
3585493334,254
40083800,1654
9567972,292964
18383195,29580
118190428,100906
2887967069,1408
220582239,2443
3412326753,3632
467726691,13974
3889387876,2
35402085,48462
364540263,154
74353000,464
86129724,97730
14774634,991
1404360181,12353
56205676,17
4664404333,
973554031,1016
135975280,2514
3241726321,8021
2884903283,3749
849342841,3210
3890143611,1
249880957,1047
23816574,404
27404671,30811
66050432,927
4729317440,
2600503818,43
22313347,5729
720896389,9134
48122327,917
398862727,44
2754165128,54
16261513,7304
198646850,
1595007374,58
394811791,3074
860629392,925
11188632,3212
241983890,4240
4066232723,558
4704468684,69
2922367381,119846
8442262,608
23345560,1383
1214306713,9
485018010,3405
110226860,725
16953756,5551
246667561,5408
2458112414,3533
54065567,18195
930808560,5446
3317219751,944
121010601,459
36741547,14096
118886828,
87046573,240
90083759,459
17351088,1176
2504417352,913
709198227384324096,19
211300788,342
42119605,3890
27003847,2864
3313985975,11649
215369871,1542
109854452,11866
285434613,7429
1475717568,33341
26520992,409
3428100550,2112
55232967,1122
4068336072,577
208155240,185099
14241527,2124
4900202957,61
42826190,1490
1595001296,66
716905889,4372
77489718,265
218726867,2955
973547988,
63564245,2196
56109526,3547
50858455,454
2455802329,144
42828250,3908
3131253213,3440
2308748665,238
3340634592,
27120098,2104
2968472037,616
3024468454,
16980455,922
30833130,657
16311797,92943
1218583021,3428
14549486,958
242674159,1107
92801520,474
3507624377,1277
2259749833,
598319603,2134
817652,8991
2860970485,10
36442614,6180
15300388,51178
1866050042,2928
177355259,786
479562736,64651
618840573,14213
77032777,11994
27759798,17811
103121408,1285
18451200,53404
226299307,37
1494835716,60235
55040518,34
223279873,467
41186732,17429
437838346,1584
21043723,13077
10416652,65
118776333,1720
2288462990,31799
121594383,817
38976017,452012
176929299,163
18123284,1699
635730453,23
111919616,5794
278370845,1095
225905183,654
1703495640,724
2344022562,923
41929478,11049
18453030,1295
178491943,3205
19163689,8599
993862188,209
14529929,479018
4714508847,331
50094643,186174
2857124404,137
3710943797,1562
711881270,1710
104321794,478
59331128,37688
205425209,19844
47739450,167824
476202079,1403
4916107837,782
3089064510,6628
17399221,7730
341674560,779
1214310979,16
3196826180,2462
16184358,1398904
216068678,366
35402311,1547
1214267976,11
109056356,957
480500298,8005
19191223,90
113853004,1112
420385890,733
210205453,779
1214308945,17
74771026,2487
1554254419,33
4437482068,16
3098359566,4
3114322432,3692
17936825,626
4390615642,
2242439771,504
8235612,39595
3484664416,48
309213767,26
2549934690,378
3025764963,347
2920073828,
125774437,1138
131691112,5782
2281396327,942
15809298,1297
24733117,453091
22071920,928
213711475,3640
865209350,271
3772895061,5659
16030327,1925
86319736,1531
74672763,7602
32649852,632
3064375061,463
955736706,1465
988156549,12420
578822790,4481
56413858,352292
400632457,1505
3824278154,4539
2892806795,415
3296504462,12259
2415053456,30706
34310801,166458
17535634,986
30438510,2693
274258582,91
283191960,950
3462931097,172
2937854619,1293
829735580,92182
4842961565,155
4482362015,1342
2369312460,314
66950901,1456
22427761,1887
1595004308,59
571972438,1464
4324176556,8
1176994477,35844
237914799,1677
380125872,201
2550890816,1716
52316850,14973
110817971,220
1263424788,173
607558430,49017
2228914874,125
757590715,652
1214297317,
303434772,657
89871235,838
4664734403,9
4368329412,14
941647194,4754
344803369,5560
234898121,211
48806604,2396
973564621,882
2788397775,63
1702976208,
973554386,787
466864852,24600
3020686037,1960
829117142,1040
1550439127,1315
72684249,473
1965318876,1877
19802846,18445
57412320,361
20953826,997
2361623269,8632
3328064230,3846
87957969,17483
1100671100,706
15823893,5131
36046325,2122
320180972,189
17398510,1592
3299093231,155
226484976,4163
87063281,21674
21953631,10115
78701299,27131
366322420,484
15195038,8291
291336460,3698
4915948279,776
2461997816,397
285097277,5176
21800063,10675
308534014,2092
50477823,
936809216,185
18825344,4376
3020731138,
16300160,2295
1548489476,31146
70171397,27985
19071750,4350
3505692801,299
269595400,144
75613996,1419
565613322,74
3058624983,639
860728076,9
23812877,2644
1406286607,617
1218777872,2597
3331835352,10721
85181202,2162
16710420,125721
102388126,929
58098679,1344
17120024,664
233069337,2602
55039014,16
15360796,9959
82471710,3902
17449093,9311
3681149729,186
226650520,603
14457638,347
44119857,17333
606759720,131
57785129,12443
18389803,1372
951915308,3111
2868189997,967
32305967,1323
18792765,3024
163011383,108
291509050,51
702361937888333824,508
1634552636,24200
20834303,3564
55038606,43
2322897728,654
2334410965,175
15382667,12072
12927812,7909
354933574,48316
1345002433,21
154020681,1337
2868140876,861
1120176974,1099
172000417,90
1393501008,2011
268900152,5049
76397394,1566
66286419,1230
36072276,4390
1020058453,493226
2374587222,821
1214286679,11
262932110,
1594970970,58
27550555,1042
2746186589,9145
258036575,644
19845473,3608
14560097,13027
470409867,605
14345062,206216
1452477602,237
973527912,632
31239996,6391
4053945194,505
230450027,17024
191538028,3744
86102894,4072
2179951,1354
23120752,188
180986738,3305
2467791,6558857
1214307817,13
146060152,12763
18639738,22620
177230716,513
259074538,53481
46166910,
14303381,
2281972608,881
27046785,22968
128334973,1548
1595021803,60
4491531140,444
15537302,11454
702353974641324032,787
1385771911,2046
3393088392,776
236026761,55366
1467962250,173
17687436,8396
1858767757,63
77694454,755
3066383171,119
147135381,4908
130001814,471
17542265,11704
974885784,527
51684249,
59554714,1387
244586991,4083
58260634,846
44356510,1256
3334862661,608
41829280,11653
2154191777,347
40602531,3051
113111974,617
3731479463,31
891706524,87564
131500972,59380
2944996509,18256
174089136,6237
386511793,81
154909422,5885
122076087,218
2836839353,16837
17353658,25667
129350587,253
1214288828,269
34726846,751
197496309,104310
27413440,5898
3314514080,484
4260412355,125
2820209142,286
202726343,6887
866829132,2342
16989130,6384
64916983,15867
2662265804,209
23974861,6710
701798063128625152,
345517008,2677
21316253,86968
28164691,1147
2537198585,1982
18230228,77
314536920,7850
43445412,13256
2613709789,247
3247993823,7738
1684704224,150
21627728,300
219350591,4601
16067067,1665
3082238950,2263
920219473,414
21990464,17797
479601642,3814
4721189868,617
21707139,4693
153116157,36068
14500848,2414
492246002,1535
546623315,1170
258479092,435
1214297077,12
407473142,84940
887145463,4696
39916537,17181
15815676,1034
26528766,3940
14333781,760
97633280,1154
4103070208,18
1932657667,99026
864584708,29237
17699845,1749
54699014,7157
2864174087,1885
51149832,128
4853998601,3423
3356482571,22
579112274,1670
352539661,14074
603798545,413
124371986,7820
1214290435,13
125283348,65
275125422,150
27124758,10855
17544215,272
2927074329,591
2865159195,628
4154338332,546
3144223773,527
4641682463,221
247614496,1446
210928673,2077
1462278134,5004
38992932,293
123110059,1544
15359014,1834
2429594665,28
112970794,423938
102171691,2482
14328877,441
61434926,3652
4804084783,
110466097,5665
145659451,13563
2280669680,1570
23657527,1381
1703040056,769
458015801,2538
238027836,2872
455108106,2126
5741722,2098169
519728191,6167
2597141568,392
14365762,4305
3314529347,4262
4246693046,
3020695373,2161
15905863,512
17097801,246
24484939,3305
1246177122,1102
16337999,1378
20722768,3187
444304468,557
1179710990,5933
19518552,427
3761241,23932
137655302,5131
42091611,176573
4553731353,913
4502289501,61
15467215,2139
93111391,77380
62340193,2000
28052578,383
16067683,3415
124814437,11273
18801766,3579
176909116,6660
40018661,938
1486206134,1178
47062123,5006
4439798892,560
348071022,1467
14915067,13892
4794182534,10721
742016113,4302
67232882,6208
19536403,346
89983830,1218
19884087,2335
3610188921,2359
4705503319,111
381424763,400
86412412,1496
15893354,40677
349183825,1315
22064255,10705
781251776,3138
289963138,10529
104170629,1246
2172753030,77
17822855,4047
1214286984,14
21587082,27850
945132685,489
95249550,845
22918287,4994
205769582,110959
28818582,787
3712646295,1708
2393298072,1841
22278340,606
372778138,833
111381659,9744
38223004,799
16032925,568497
55037674,74
3304680457,171
973565089,823
58308924,355
4707710115,1840
15170286,19774
1337701542,1122
1597096567,75
1945076263,3983
2608043178,6293
700612022010916864,
169985197,15357
1561900206,891
131679409,14
441660597,754
964986038,1875
16635063,2072
20812660,6032
262900807,1704
108837407,108
4698979520,2471
242369729,9878
330486427,553
145681522,2439
544378056,1295
592898252,469
973540554,691
112282827,1409
138228941,174
1135168717,309
1638425646,3052
3430288594,675
488679352,62418
13524182,202008
36314329,2659
3282973915,130143
17728732,2085
43616122,659
1214299358,13
16336095,1433
112526560,25074
183876837,12208
3479616743,6125
16155881,25241
73829585,1844
73813227,5014
377668052,729
14933230,959
24882415,18322
3885993200,3391
103576819,805
73019262,187
2262039800,16
138218746,152
18320938,37305
2349119701,3520
632511744,15585
2191481728,4206
32654594,444
55976150,16303
4738300801,
544354860,338
7228682,61724
264451340,3645
17919245,3426
186557997,2298
266876176,342
279426321,658
65209619,4832
2391352596,38290
465446166,195
14132503,10252
420048153,3747
2567361932,4886
23515359,1781
2173449500,273
799401248,1021
461458725,212
19572007,6295
94258472,228
1218622722,3490
154985728,8713
92702455,349
3291177865,6250
3243261234,595
16593766,3334
273015689,926
42964281,6673
3269091415,6377
4741436731,11
219913533,3782
58502462,1937
16721461,15289
401675584,22199
2456612064,223
91295286,802
3433659718,3661
4234566983,5776
245321522,36
2369450892,4054
30534986,29321
16539190,10270
4666950440,
42362189,12385
26487169,250657
2551151160,434
67233106,578
39155029,31212
16305494,8465
18353495,62677
38850179,1126
760087898,1029
310732584,371
2488436060,1390
255240421,284
139738464,8718
491476321,928
1206091106,519
39232867,2592
4084169127,194
371889510,5648
198368615,1497
17470695,7146
181039052,1034
42268013,39972
23111022,4885
1167764029,142
422317099,287
19416435,413
46151715,1906
4915675710,702
2240756971,11430
1703535992,55
188903918,3672
21450106,233
14630267,10942
1214291324,141
159655293,6112
274294142,6420
22869375,5325
106317376,2030
461677954,2110
77863147,6154
237337988,149
18640261,5650
626503046,19727
92304777,4075
3424060462,23
123174284,698
1858741826,63
4751365518,145
4659230096,
3020656017,1295
3901617556,39
1214270556,
4042851734,512
472679832,226
4746371652,485
295725826,66
16672155,825
35009948,1355
141938077,4649
23064628,611
4703251872,81
45278448,1379
18082945,39527
2707584582,2092
274517122,17190
214443431,10
973544874,823
69049771,2565
2475599276,5695
2939497901,2316
2274839983,295
961584560,373
21563711,1888
783046681,1033
4516752821,1593
264025526,2315
41508279,281
345636282,306
340330058,4593
17243582,109878
625452480,78
4426507168,997
139644354,249
18772897,16804
26887881,2592
217299191,268
721661942591524864,24
537553485,13272
55037392,40
309205240,2957
759251,25428731
3803497941,52
2868100566,805
1638430969,234
2300505560,1165
79042009,39
32517594,13092
3020692409,1447
17468666,2901
225861086,9222
18159073,1609
43797990,1182
1485880807,790
138147304,184
73448937,31611
188526058,282
71575019,809
22707692,1304
16242158,611
229575933,1642
973526952,713
20276998,22125
293012979,6498
12004852,5290
1595026933,58
1214295542,
22924791,2020
14345812,6581
4212880639,66
21659132,1568
279240189,77
18400766,199
3108351,11079586
2823283968,519
446291458,35408
3525238277,
4369315334,6
582140844,5208
15560202,1604
3313997058,780
4710741518,
44592655,1330
1214285328,12
395132433,316
168524035,7038
2314084668,118
29799963,2484
36601372,358
14345759,95380
22248992,1886
13673392,21380
466519586,2402
63528484,2912
34022952,11230
111932970,8436
44686891,2699
279469613,18266
138526255,22038
1282158128,3799
512845362,113341
1214284272,11
269930038,51832
149030455,802
3889100344,4
28195764,48833
62774102,3079
3221687869,678
1214281278,13
3084998207,2178
293314112,806
502362720,17643
1594977858,57
312593987,825
24827461,316
291774022,11244
36810311,839
17292556,3693
31559242,9251
812027468,7302
2259158605,1249
130844238,142
666893,495
55041616,41
4368819793,37
114374226,2921
48051795,1414
91944532,1421
137840213,3377
4048485974,512
1162112953,2267
69330522,14206
18083420,4276
141645754,241
4339754593,55810
11073122,240
493530726,128
2858151526,1455
169586280,10463
28765801,9164
4175660653,2394
2535083630,8085
270112367,
849942128,2427
529550961,38
163589845,7750
240334451,1954
22883463,3291
182301577,7646
518663799,1423
16291449,6501
88458875,11094
49532541,130
157398659,16854
146710150,16986
49964679,89051
154588808,851
2421298825,464
17513307,2399
3236924083,24770
115408526,845
299929232,9460
24047249,616
1594975890,59
33611715,67746
32763541,4697
1708820119,9532
278345370,319
1645876892,282
27125405,212
216788638,342
296170437,
83949216,10279
34715248,2116
330145442,950
2178922148,10354
3009568421,
351850150,54037
3341950631,97
3258275628,
43973916,467
2549300906,345
298198699,144
119514799,1793
4717077107,190
226473652,960
50769180,701130
70511174,15648
3663984313,300
179588796,3330
34805465,391
1672541887,81
477071043,271
80414405,2933
2806394569,258
54464202,766
3424040651,372
23232204,12203
15993122,7240
3408762575,2513
135558864,1243
130935416,680
794779346,1407
123157926,499
141403861,922
15244782,1439
1594975962,79
19495887,314
279247113,207
18482912,1943
705771225377857536,128
2843901666,8202
63052244,1404
376876772,5405
202731814,718
133959400,673
99140220,7542
16299754,27821
543628583,2068
17922825,1623
13735662,125
456806128,66783
128641320,3881
37025524,1523
59911924,1225
20252406,6154
300497193,10686
64122617,10731
1158180602,3611
28927073,1694
1934287598,1854
309827330,237
1519412996,3782
973694934,403
979113734,190
23228167,299
213137160,2567
1450735369,198
107087730,1516
579962917,17228
106277663,606
244317966,3750
14434063,224957
2548770576,
241690584,63
3240732435,1129
2852528430,
1138368278,66
24438551,17994
232681242,6924
4633251613,2487
184780576,6839
286680865,4657
3462557476,193
105604742,5289
41432870,1586
3395964711,11184
64925480,944
1197354972,1786
2274571652,41
11351852,
227837742,623343
796907311,2197
16672561,16897
23152434,7526
37675937,309
13850422,620589
354162487,63
206487352,3403
705706292,6985
3385597754,
338896699,7953
1963571004,102728
80202378,1517
242011966,3078
1214314464,140
60684098,1450
2409595531,6239
326616900,2294
36987190,2459
32497478,47635
19799373,393
1002199044,21
1412933454,401
236753010,152
2984429393,
351039315,287
136300373,40161
115148632,994
117680100,1126
517568346,5012
49718700,2077
3303239516,522
28645214,2211
4074893152,467
3353434768,113
759902462,258
156186469,205
149296998,7129
3270445526,1208
26773353,6708
1703497644,636
30709612,15631
1214289774,15
315002735,5802
301954928,500
64302962,10909
1595018899,62
761146784,795
1289555262,6452
22972716,259
2828639878,85
16646010,487
928618363,16252
25945980,430
1214293885,10
15523710,420
4461600405,992
4877191041,5368
22695433,2751
714894794653364224,515
1214288034,8
63615980,8460
4642502538,3255
403004768,6305
1594972824,60
254312341,5348
197944710,7672
1531525988,2280
787546010,1552
26869660,831
2893678493,641
96522143,4399
133793696,7051
4260493217,28
3044840091,2161
191917706,374
1039687591,1542
275765160,642
33164956,120
1664939335,1966
4704337836,108
18164244,32480
55845533,1600
24840112,2597
1594972488,58
1367531,9344616
20344756,10279
407129758,2357
4920999862,340
80701367,2082
19865528,42373
180823028,6707
15873978,2983
15075999,104988
394011295,841
65587134,47568
3452766143,341
421610271,779
4575235403,71
3007502276,150
3318611958,35
1611538375,4286
286013431,2700
1214289673,
104914594,10797
3238389710,379
225627469,1096
14612434,732
4839710675,660
78716886,3556
153503737,3579
3683971032,3162
1703533220,568
17561562,44725
19154907,2655
98967516,5699
85176287,784
4318156768,61
15988705,222
356982779,328
299642852,353
2640930792,269
472311211,256
440688620,34804
1850795346,108
22362095,9219
125338249,685
2980716533,279
548531273,143
347856887,1614
1353149138,412
62128121,2018
2371825659,1177
4068653052,770
15755262,110
16205823,2123
